section_id	section_title_en	description_en
256	3. The July Ladder, Day by Day	Day by day, the response escalates from a gesture into a sustained campaign against new target classes.
257	4. A Double Response — Material and Reputational	A simultaneous material and communications effect following the Russian attack.
258	5. Confidence in the Next Step	A renewable weapons stream increases the ability to repeat successful moves without making a large inventory bet.
259	6. Accidental Durability	A temporary response is retained because the new target class proves exceptionally cost-effective.
260	VII. Historical Inversion	Russia is now fighting against the human and industrial rear that once powered its victories.
261	1. What Russia Used to Win Wars With	For centuries, the empire drew on Ukrainian people, industry and military competence.
262	2. Amputating Its Own Muscle	The attack on Ukraine cut Russia off from part of its own historical base of power.
263	3. What This Means for the War	Lost imperial competencies help explain Russian shortages and Ukraine's capacity for innovation.
264	VIII. The Forecast Catches Up with Reality	A previously niche scenario of accelerated resolution enters the language of decision-makers.
265	1. What Was Written in March	The March scenario distribution assigned an accelerated end to the war a meaningful but minority probability.
266	2. What Was Added in June	Independent clocks shift the forecast weight toward autumn 2026.
267	3. What Zelenskyy and Budanov Say Now	Zelenskyy and Budanov publicly point to winter 2026 as a realistic boundary of the window.
268	4. What Was Not Previously in Circulation	The novelty is that a rapid end to the war has entered the public repertoire of scenarios at all.
269	5. Discipline — a Map, Not GPS	The forecast remains a risk map, not a certain date or a GPS for events.
270	IX. Collapse in the Present Continuous	Parallel degradation of Russia's budget, agriculture, reserves, transport and corporate sector.
271	1. The Budget — the Official Hole and the Oil Paradox	The deficit exceeds plans even as fiscal rules are pushed beyond the current horizon.
272	The Oil Paradox — Falling Revenues at Record Prices	Revenues fall despite record oil prices because the constraint is becoming physical export capacity.
273	2. Harvests — Fuel Eats the Crop, Technology Eats the Rest	Shortages of fuel, technology and labour directly hit the pace and outcome of the harvest.
274	Technological Degradation Underneath	Cheaper seeds, less fertiliser and ageing equipment increase agriculture's vulnerability.
275	Weather and the Liquidity Trap	Weather and lack of cash lock farmers into a fuel–harvest–income loop.
276	The Countryside Will Feed Itself; the Cities May Not	Rural areas retain survival buffers; politically, food shortages in large cities are more dangerous.
277	3. Gold — the Sale of the Century	The central bank sells gold at a record pace to plug the budget.
278	4. Railways — a Fifth Year of Decline, with Degradation Underneath	Falling freight volumes overlap with workforce losses, asset deterioration and worsening infrastructure quality.
279	The Freight-Work Paradox	Freight work can mask shrinking volumes through changes in route length and cargo mix.
280	Asset Sales and Loss of People	The railway sells assets and loses the technicians needed to keep the system running.
281	Falsified Repairs and Loading Bans	Paper readiness and loading bans conceal the real degradation of railway infrastructure.
282	5. Civil Aviation — a Failure Every Week	Parts cannibalisation and constrained maintenance translate into growing civil-aviation failure rates.
283	6. The Corporate Sector — Managed Decline	Large companies move from growth to restructuring, losses and controlled contraction.
284	7. Why This Is Already Future Perfect	Some processes have passed the forecasting stage: the question is about consequences, not whether they will occur.
285	X. Silent and Full Mobilisation	Russia between costly recruitment, quiet mobilisation and the risk of full mobilisation.
286	1. Recruitment Is Failing	Bonuses rise while voluntary inflows of manpower produce ever smaller marginal returns.
287	2. Quiet Mobilisation — What Is Already Happening	Administrative and contractual mechanisms increase manpower without formally declaring mobilisation.
288	3. The Counterargument — Is There Really a Shortage?	Counterargument: current recruitment may be enough to hold the front, though not to achieve a breakthrough.
289	4. Full Mobilisation After the Elections	September politically constrains the decision, so full mobilisation is considered more plausible after the elections.
290	5. What It Would Give, and What It Would Take Away	Full mobilisation buys infantry at the cost of the labour market, specialists, emigration and social calm.
291	It Would Give: Mass Infantry, for One Season	Several hundred thousand people would provide one season of greater mass at the front.
292	It Would Take Away: the Last Labour-Market Reserves	Conscription removes people from a labour market that already has almost no reserves.
293	It Would Take Away: the Specialists the War Needs Most	Mobilisation pulls technicians from the economy who are also needed by the military itself.
294	It Would Take Away: Another Wave of Emigration, This Time Permanent	A new mobilisation wave could trigger lasting emigration among the young and mobile.
295	It Would Take Away: Social Calm That Cannot Be Bought Back	Full mobilisation reveals the scale of the war and raises the regime's social cost.
296	XI. The Chinese Component Substitute	China replaces part of Western supply, but deepens Russia's one-sided dependence.
297	1. Scale of Replacement	Chinese components fill Russian gaps in electronics and dual-use technologies on a mass scale.
298	2. Official Surrender of the Independence Programme	Russia formally lowers its target for electronic independence and cuts domestic programmes.
299	3. Irtysh — a Processor That Is Not Russian	The “Russian” processor turns out to rely on Chinese architecture and foreign manufacturing.
300	4. Grey-Zone Channels	Sanctioned components flow through intermediaries, shell companies and third countries.
301	5. Gas — Both Directions Closed	The European market is lost, while the Chinese route cannot provide comparable scale or terms.
302	6. This Is Not Substitution, It Is Changing Creditors	Russia did not regain autonomy; it replaced the West with a stronger Chinese creditor.
303	XII. The Defence Industry — Four Closures	Repeated strikes, component bottlenecks and labour shortages close the pressure loop around the defence industry.
304	1. Repetition Matrix	The same plants are hit faster than they can complete successive repair cycles.
305	2. The Bottleneck Is the Component, Not the Building	The key constraint is hard-to-replace parts and technologies, not factory halls.
306	3. KAB — One Product, Three Links	KAB production depends on several different and simultaneously vulnerable supply links.
307	4. The Triangle of Competition for People	The military, defence industry and civilian economy compete for the same shrinking pool of specialists.
308	XIII. The Stream Under Load	Testing the other side of the equation: Ukraine's production stream is real, but it also has limits.
309	1. The Stream Is Real — the Numbers	Drone and missile production grows as a renewable flow rather than as a stockpile being depleted.
310	2. The Stream Is Funded, Not Free	The main bottleneck in Ukrainian production is external financing, not industrial capacity.
311	3. Infantry — a Shortage Technology Cannot Fix	Technology does not remove the structural shortage of trained infantry needed to hold ground.
312	4. Energy — a Correction to the Earlier Thesis	Ukraine's grid is regenerating, but heavy transformers have long replacement cycles.
313	5. Asymmetry of Constraints	Russian constraints are mainly physical and one-way; Ukrainian constraints are more often politically reversible.
314	XIV. What Russia Has Learned to Do Well	Steelmanning: Russia effectively circumvents some sanctions and builds new resilience mechanisms.
315	1. The Shadow Fleet — from Workaround to Institution	The shadow fleet has become a durable Russian export institution despite vessel-by-vessel sanctions.
316	2. A New Level: Building Capacity Under Sanctions	Russia and its partners develop new project capacity even within the sanctions regime.
317	3. Counter-Adaptation: Kinetic Sanctions	Ukraine answers sanctions circumvention by physically destroying infrastructure and transport assets.
318	4. Other Adaptations	Parallel imports, substitution and production reorganisation soften part of the external pressure.
319	5. The Cost of Every Adaptation	Every workaround raises costs, lengthens the chain and increases dependence on intermediaries.
320	6. Why This Strengthens the Thesis Rather Than Weakens It	Successful adaptation shows that the system persists, but at the price of growing complexity and cost.
321	XV. Banking — the Shortest Fuse	A concealed banking crisis as the fastest mechanism for turning erosion into panic.
322	1. Formally, the Crisis Is Already Underway	Bad assets and insolvency exceed levels consistent with a banking crisis.
323	2. Masking Through Restructuring	Restructuring delays classification of bad debt and shifts the cost onto the state.
324	3. Marketplaces as an Accelerator	Warehouse strikes worsen corporate credit quality and increase banks' provisioning needs.
325	4. Flight into Cash and Insolvency	Cash outside the banking system and insolvency among households and firms are rising at the same time.
326	5. Why This Is the Shortest Fuse	Banking perceptions can turn a hidden crisis into an open one within days.
327	XVI. Winter 2026/27 — Convergence of Vectors	Autumn and winter bring fuel, finance, mobilisation, the budget and district heating into one window.
328	1. Calendar of Convergence	Independent clocks across multiple processes converge around autumn 2026 and early 2027.
329	2. District Heating — 70% Wear with a Budget Cut 2.3-Fold	Worn heating infrastructure enters winter with maintenance funding sharply reduced.
330	3. The Admission Written into a Government Document	Russian government documents themselves record the risk of failures and infrastructure shortages.
331	4. Why the Tangle Multiplies Rather Than Adds	Simultaneous crises compete for the same resources needed for response.
332	5. What Would Have to Go Right	A stabilisation scenario requires simultaneous success across many independent axes.
333	XVII. War Mode and Moving Backward in Time	Full economic mobilisation can solve allocation, but not material availability.
334	1. What War Mode Actually Solves	Coercion directs people, money and priorities where the state wants them.
335	2. The Door Was Closed Before the Decision	Social and economic control was built before full war mode was formally named.
336	3. What Is Missing: Allied Supply	Russia lacks an external supplier on a scale comparable with the historical Allied rear.
337	4. Three Time Layers of One Economy	Archaic production, a Soviet base and imported modernity coexist within the same economy.
338	5. Modern Coercion, Archaic Production	Citizen control is the most modern element, while production is technologically regressing.
339	XVIII. Inventory of Options — What Russia Has Left	Separating Russia's real tools from measures that sound like solutions but are materially empty.
340	1. False Options	Bailouts, confiscation and monetary tricks do not create missing physical goods.
341	2. Real Options	What remains real is reallocating resources, lowering standards and importing physical goods from outside.
342	3. Money Has Stopped Being the Binding Constraint	The constraint is access to components, people and infrastructure, not the number of rubles.
343	XIX. What Else Can Burn	A catalogue of further target classes with high potential to strip Russia of wartime capabilities.
344	XX. The Boundary of Material Analysis	Material indicators show conditions maturing, but do not identify the moment of rupture.
345	1. The Assumption Stated Explicitly	Explicit assumption: in a Great War, resource balances alone do not predict the moment of the end.
346	2. Material Conditions Create the Possibility; Meaning Creates the Moment	Material conditions create the possibility of rupture; meaning, loyalty and narrative can trigger the moment.
347	3. Symbolic Asymmetry	The Russian narrative stabilises; the Ukrainian narrative mobilises the creation of new capabilities.
348	On Moral Justifications	Both sides have their own moral frames; analysis must distinguish their function from their truth value.
349	4. Symbolic Targets — a Different Logic	Some targets mainly affect the sense of invulnerability and elite calculations.
350	5. What This Document Does Not Measure	Blind spots: will, apparatus loyalty, meaning and decisive singular events.
351	Kolumbryna vs Reality — Two Revisions	An audit of Kolumbryna's 24 forecasts in two revisions: 31 May and 23 June 2026.
352	How to Read This	A legend for the four statuses and the change markers between revisions.
353	Revision Counter	The aggregate shift of the 24 rhinos between the May and June states.
354	24 Rhinos — Status as of 31 May	Item by item: status, new data and change for each of the 24 rhinos.
355	Stock vs Flow	The Russian system relies on depleting stocks while Ukrainian pressure increasingly operates as a flow. The analysis links the fuel crisis with Putin's decision trap.
356	Part I — Material: Russia's Fuel System	The fuel balance: loss of slack, almost no stock, product asymmetry and growing logistical constraints.
357	1. The 28 June Strike — Three Facilities, Scale Verified	A single wave hits three oil facilities; thermal data confirm the scale of the fires.
358	2. Nominal Capacity vs Actual Throughput	Nominal refinery capacity overstates resilience; actual throughput left 57–75 Mt of slack.
359	3. The Fifteen Largest Refineries — Nominal Share	A ranking of the largest refineries shows capacity concentration and the scale of damage by June 2026.
360	4. Product-by-Product Balance and Buffer Asymmetry	Petrol has a thin buffer, diesel a thick one; the same fall in throughput hurts products asymmetrically.
361	5. Storage Reserves — Flow vs Stock	Russia effectively lacks strategic fuel stocks; the system depends on continuous flow.
362	6. The Ladder of Bans and the Co-Product Feedback Loop	Successive export bans reveal the shortage ranking: petrol, aviation fuel, then diesel.
363	Pressure Valves and the “Hole in the Ground”	Co-products do not choke refining; surpluses become waste, so lower throughput means forced shutdowns.
364	7. Offline ≈ Slack — a Phase Change	Outages have caught up with former spare capacity; further hits now cut into real production.
365	8. Flat Lines and Suppressed Demand	Lower civilian consumption may reflect rationing rather than genuinely lower demand.
366	9. The Transport Onion — Four Layers	Surviving eastern refineries are far away; rail, capacity and rolling stock create successive bottlenecks.
367	Part II — Strategy: the Sole Decision-Maker Trap	Shrinking resources meet a decision-maker trap, a closed freeze and growing risk of a residual move.
368	1. Four Stock-vs-Flow Axes	Four Russian stocks are shrinking in parallel: fuel, precision fire, elite loyalty and escalation capacity.
369	2. Reading Through Absence	Failure to respond as one's own doctrine predicts is information about real constraints.
370	3. Generals and the Delusional Picture	Loyalty-based selection removes competent commanders and produces a false picture of reality for Putin.
371	4. The Locked Elite — Unlike 2010/2019	The elite has no exit, voice or waiting option; apparent stability increases the risk of a sudden flip.
372	5. Checkmate — the Freeze Closed from Russia's Side	A freeze is politically harder for the Kremlin than continuing the war: it exposes weakness and triggers its own crisis.
373	6. Collapse of the Frame — Russia = Putin	The state's interest diverges from the objective function of the only real decision-maker: Putin's personal survival.
374	7. The NATO Gambit and Casus Belli	Escalation against NATO as a residual move: a defeat that is narratively easier than losing to Ukraine.
375	Soft Landing — Structure, Not Wishful Thinking	A limited defeat by NATO could preserve Russian statehood and nuclear custody while politically degrading Putin.
376	Casus Belli — Poland 1939 (the Gleiwitz Model)	A false flag on NATO's eastern flank as a way to present escalation against NATO as defence.
377	8. The Cornering Paradox	The fewer safe exits Russia has left, the more attractive a high-risk residual move becomes.
378	9. Advocatus Diaboli — the Collected Hinges	Collected caveats: degradation does not imply an imminent end, and the key theses depend on the current configuration.
379	How States End — Phenomenology, Typology, the Russian Calculation	A typology of how states end and a filter applied to contemporary Russia. Core thesis: a long period of erosion can turn into very rapid disintegration.
380	I. Framework — Phenomenology, Not Aetiology	The analysis describes the form and course of a state's ending, not the full aetiology of its collapse.
381	II. What the Fall of the Third Reich Looked Like	An example of long erosion ending in a four-month extinguishing of the state through conquest.
382	Ten Markers	Ten observable signs of the transition from great power to the physical disappearance of a state.
383	Two Poles — 1945 vs 1918	Contrast: extinction through conquest in 1945 versus internal rupture in 1918.
384	III. Typology of Modes of State Ending	Expanding the simple 1945/1918 split into multiple distinct forms of state ending.
385	Eight Modes	Eight mechanisms of ending: from conquest and revolution to disintegration, prosthetic implosion and absorption.
386	Cross-Cutting Pattern — Death and Rebirth from the Core	A state can die and later re-emerge from its core in a new form.
387	Distinguishing Axes	The modes differ in surrender acts, dissolution processes, continuity of the apparatus and the fate of territory.
388	IV. The Russian Filter	The typology is narrowed to modes genuinely possible for a vast nuclear Russia.
389	Which Modes Drop Out	Conquest, partition and some surrender modes fall away; what remains is mainly a change of centre and disintegration.
390	Two Engines of Self-Dissolution — USSR vs Austria-Hungary	Russia is closer to the USSR's top-down elite defection than to Austria-Hungary's bottom-up national disintegration.
391	The 1.1 Million Figure — Front Army vs Holding Apparatus	The field army and coercive apparatus are separate pools; defeat at the front is a signal, not automatic disintegration.
392	The Monopoly on Violence as a Belief About Oneself	The monopoly on violence lasts as long as the apparatus believes the centre remains strong and victorious.
393	V. External Hierarchy — from Patron to Client	Russia has fallen from patron to client of China, losing successive layers of external sovereignty.
394	VI. Who Wants What Kind of Russia	Actors' interests separated by whether they want Russia whole, strong or reduced to its core.
395	Three States — Wholeness, Strength, Strength Without Federation	Territorial integrity, strength and federal structure are separate axes; a strong core without the periphery can be attractive.
396	China and the Norm of Territorial Integrity (cf. Ukraine)	Beijing treats Russia's territorial integrity instrumentally; stability, access and economic dependence matter more.
397	Iran on the Proliferation Axis	Iran would care less about Russia's map than about a brief window of access to nuclear technology.
398	Category IV — Musk and Thiel	Private actors may prefer fragmentation and influence the West's stabilising instinct, though they will not cause the fragmentation themselves.
399	Balance — Who Is Really on Which Side	There is no strong, coherent coalition on the side of Russia's territorial integrity; external interests are dispersed.
400	VII. Defusing the Refugee Scare	Refugee risk is real, but depends more on mobilisation and violence than on poverty or disintegration itself.
401	VIII. Internal Binding — Three Layers	Three internal layers holding Russia together turn out to be conditional calculations rather than durable loyalty.
402	Layer I — Siloviki as a Strength Sensor (~300,000 + Families)	The siloviki are a sensor of the centre's perceived strength and may switch sides when the calculation reverses.
403	Layer II — Bureaucracy as Inertia (X Million Federal and Quasi-Federal)	The bureaucracy sustains state functioning, not the regime; its inertia depends on solvency.
404	Layer III — Oligarchs as Hostages	Oligarchs are hostages of the system and a potential leading indicator of its instability.
405	IX. Synthesis — the Binding Agent Is a Calculation on Two Variables	Internal cohesion depends on two signals: perceived strength and the centre's solvency.
406	X. Open Question — Periphery vs Core	What remains unresolved is what would stop spontaneous disintegration at the periphery rather than draw in the core.
407	Dark Legitimacy: What Russia and Ukraine Reveal About Authoritarianism	The concept of “dark legitimacy”: authoritarianism stabilised by the cynical expectation that all power is bad. Russia and Ukraine reveal opposing logics of legitimacy.
408	Abstract	Definition of dark legitimacy and the contrast between Russian acceptance of evil and Ukrainian affirmative legitimacy.
409	An Affirmative Concept of Legitimacy	A review of models in which power justifies itself through value, mission, consent, law or a shared purpose.
410	Governmentality: Affirmative Legitimacy Beyond Democracy	Governmentality extends affirmative legitimacy beyond democracy: power justifies itself through productive governance and knowledge.
411	Legitimacy Crisis in the Soviet and Post-Soviet Context	The collapse of belief in Soviet ideology creates a cynical vacuum from which Russia builds a new model of legitimacy.
412	Dark Legitimacy: Bad Is Good	Corruption and violence stop delegitimising power when they are treated as normal, inevitable or even desirable.
413	Russia–Ukraine: The War Over Legitimacy	The war as a clash between Russian dark legitimacy and the Ukrainian tradition of consent, social mobilisation and dignity.
414	Consequences of Dark Legitimacy	Criticism of corruption reinforces a system that already assumes corruption; the real weakness is the loss of the image of strength.
415	Acknowledgments	The author's acknowledgments for contributions, discussions and support for the work.
416	References	Bibliography of theoretical and empirical sources used in the article.
417	DISINFOLKLORE	Disinfolklore as a framework combining folklore, archetypes and analysis of contemporary disinformation. Its purpose is to identify narrative mechanisms and build cognitive resilience.
418	Contents	A map of the compilation's twelve main parts and analytical tools.
419	I. Genesis: the Bridge, Trolls and Folklore	The method grows out of the experience of a mediator on a bridge in Donbas and observation of the folkloric structure of conflict.
420	II. What Disinfolklore Is — Definition and Scope	Disinfolklore as a narrative form, analytical theory and countermeasure in information warfare.
421	III. Twelve Tools of the Analytical Method	A twelve-part toolkit for parsing memes, emotions, archetypes, provocations and content distribution.
422	Archetypal Disinfolklore Literacy	Recognising folkloric archetypes hidden in contemporary messages.
423	Incoming–Outgoing Troll Radars	Filtering the content we let into our own minds and pass on to others.
424	Look for the Mana in the Meme!	Identifying the emotional energy embedded in a message and the direction in which it acts.
425	Archetypal Structures	Detecting realm-switching, identity transformations and personification of abstractions.
426	Trigger → Experience → Reaction	Separating stimulus, experience and reaction to interrupt an automatic emotional chain.
427	Code of Positive Trolls	Six values used as a filter distinguishing defensive communication from manipulative communication.
428	Accusation in a Mirror	The perpetrator accuses the future victim of actions the perpetrator plans or is already carrying out.
429	Provocation Logic Cycle	Fabricating a threat and then presenting one's own aggression as a response to it.
430	Witch Switch	Redirecting real social fear toward a fabricated culprit.
431	Coercive Control	A model of coercive control recurring from personal relationships to state politics.
432	Re-Archetyping	Deliberately changing the mental model of an object by substituting a new archetype.
433	Understanding Rashist Construction	Analysis of propaganda production: temniki, troll factories, vectors and distribution networks.
434	IV. Three Archetypes: Druidy Don, Duncey Putin, the Comedian	Trump, Putin and Zelenskyy as three archetypal figures organising the information field under analysis.
435	Druidy Don (Trump)	Trump as a mass-scale trickster-shaman capable of archetyping political reality.
436	Duncey Putin	Putin as a dangerous but non-learning archetype of the dim-witted folkloric hero.
437	The Comedian (Zelenskyy)	Zelenskyy as an archetypal communicator using symbolic “mana” in a defensive function.
438	V. Mana — Energy in Memes	A meme carries emotional energy; recognising it becomes the first defensive filter.
439	VI. Accusation in a Mirror and Provocation Logic	Two coupled mechanisms: projection of one's own intentions and construction of a pretext for aggression.
440	Accusation in a Mirror	Russian accusations can be read as projection of the perpetrator's own plans.
441	Provocation Logic Cycle	A fabricated pretext triggers apparently reactive aggression that was planned in advance.
442	VII. Witch Switch	Authentic social problems are swapped for an easy, innocent target of anger.
443	VIII. Data-Resistant Archetypes — Mental Models Resistant to Facts	A deep archetype can ignore facts until dramatic counter-data break the model.
444	IX. Finding Manuland — Indo-European Foundations	The project looks for six thousand years of continuity in Indo-European narrative structures from Yamnaya to the present.
445	Core Theses of Finding Manuland	Ukraine as a source civilisation, Manuland as a counter-geography, and a hypothesis of sound-based semantic patterns.
446	X. Disinfolklore and EU FIMI — Complementary Frameworks	FIMI describes the infrastructure of manipulation; Disinfolklore describes its archetypal and emotional mechanism.
447	What FIMI Does Well	FIMI effectively maps incidents, channels, attribution and shared terminology for EU states.
448	What FIMI Misses — and Disinfolklore Sees	FIMI is weaker at capturing internal intermediaries and the emotional and archetypal content of the meme.
449	XI. Counter-Disinfolklore — Defensive Tools	Six steps: recognise manipulation, diagnose the mechanism and deliberately deploy a counter-archetype.
450	XII. Conclusions and Directions for Further Research	The framework requires further validation and development in AI, law and the re-archetyping of Ukraine.
451	Disinfolklore: SWOT, Advocatus Diaboli, Cross-Examination	A triple test of Disinfolklore: SWOT, philosophical advocatus diaboli and a quasi-judicial examination of the method's credibility.
452	SWOT Analysis	A balance of strengths, weaknesses, opportunities and threats before attempting a deeper challenge to the method.
453	Strengths	Its strengths are interdisciplinarity, field experience, operational tools and the ability to build counter-narratives.
454	Weaknesses	The greatest weaknesses are dependence on the author, lack of validation and speculative linguistic elements.
455	Opportunities	Opportunities include scaling through AI, institutionalisation, education and growing demand for information-warfare analysis.
456	Threats	Risks include dismissal as pseudoscience, political instrumentalisation and loss of credibility for the entire toolkit.
457	Strategic Synthesis	Separate the empirically useful toolkit from speculation, formalise it and subject it to external validation.
458	Advocatus Diaboli	A series of questions testing the ethics, epistemology and internal contradictions of Disinfolklore.
459	If Archetyping Is a Weapon, Is Re-Archetyping Not the Same Weapon with the Blade Reversed?	Does counter-archetyping really differ structurally from the manipulation the method criticises?
460	The Observer on the Battlefield: Can One Study Spells Without Being Enchanted Oneself?	Can an engaged participant in information warfare preserve the distance required to analyse it?
461	Mana: Can a Non-Falsifiable Concept Retain Analytical Power?	Does “mana” have an empirical criterion, or does it remain a metaphor resistant to falsification?
462	Is the Claim “Ukraine Is the Source Civilisation of the West” Not Itself an Act of Disinfolklore?	Does heroic re-archetyping of Ukraine itself become a deliberately constructed political narrative?
463	Indo-Eurocentrism as a Blind Spot: What About Minds Shaped by Other Matrices?	Does a framework built on Indo-European archetypes work outside cultures shaped by that tradition?
464	The Scale Problem: 1.5 Million Words vs a 15-Second TikTok. Is an Encyclopaedia the Antivirus for a Sniper?	The method is cognitively too heavy for the speed and simplicity of contemporary disinformation channels.
465	The Boundary Between Tool and Belief System: When Does the Analyst Become a Priest?	A test of the point at which analytical terminology begins to function like a closed belief system.
466	Can a Democratic Weapon Survive Contact with a Democratic Voter?	Can a demanding defensive tool work at mass scale in the real ecology of democratic attention?
467	The Story of Three Characters: Is Reducing Geopolitics to a Fairy Tale Not a Form of What You Criticise?	Archetyping Trump, Putin and Zelenskyy may simplify geopolitics in the same way as the propaganda being criticised.
468	The Final Aporia: Can a Post-Narrative Tool Be Built Entirely from Narratives?	Aporia: a tool meant to liberate people from narratives is itself built from narrative categories.
469	Informational Cross-Examination of an Expert under Art. 278 et seq. of the Polish Code of Civil Procedure	A quasi-judicial test of whether Disinfolklore meets requirements of repeatability, falsifiability and expert competence.
470	Expert, Please Identify the Peer-Reviewed Journal in Which You Published the Full Description of the Disinfolklore Method, Together with External Reviews.	A question about peer-reviewed publication of the full method and independent peer review.
471	Would Two Independent Analysts Applying Your Twelve-Part Algorithm to the Same Meme Reach the Same Conclusion About Its Classification as Disinfolklore?	A test of inter-analyst consistency on the same material.
472	Expert, You Use the Concept of “Mana” as a Key Analytical Indicator. What Empirical Result Would Falsify the Claim That a Given Meme “Contains Strong Mana”?	A demand for an empirical outcome that would allow the diagnosis of “strong mana” to be judged wrong.
473	Your Formal Education and Professional Experience Are in Diplomacy and Mediation in the OSCE Context. Please Identify Your Qualifications in Comparative Linguistics, Folklore Studies, Cognitive Psychology and Archaeogenetics — the Disciplines on Which Your Method Relies.	A test of the author's formal competence in the disciplines underpinning the broad method.
474	You Are a Public Advocate of the Ukrainian Cause. You Run the Volya Foundation, Work with NAFO and Call Russia “Ruschia”. How Do You Assure the Court of Your Impartiality as an Expert in a Case Involving an Entity Linked to the Russian Federation?	A question about whether explicit engagement on Ukraine's side is compatible with expert impartiality.
475	Please Give a Precise Operational Definition of “Archetype” in Your Method, Distinguishing It from Jung, Campbell and Propp — Precise Enough for Two Lawyers to Apply It Independently to the Same Facts.	A demand for a strict definition of archetype enabling independent and repeatable application.
476	Do You Have Empirical Data — Experimental, Quasi-Experimental or Even a Controlled Case Study — Showing That Disinfolklore Increases Recipients' Resilience to Disinformation?	A question about controlled evidence that the method actually increases audience resilience.
477	You Claim That the M–N Sound Is “the Most Important Discovery in Indo-European Linguistics Since de Saussure”. How Many Professors of Indo-European Linguistics — Even One — Have Publicly Endorsed That Claim?	A test of external scholarly support for the most ambitious M–N sound hypothesis.
478	Please Give a Specific Case in Which Your Method Would Produce a False Positive — Identifying as Disinfolklore a Message That Is Not Disinfolklore.	A demand for an example and mechanism by which the method would misclassify innocent content as manipulation.
479	You Claim That “Accusation in a Mirror” Is a Structure Shared by All Genocides — the Perpetrator Accuses the Victim of What the Perpetrator Plans. But Mutual Accusations Are Routine in Politics. What Precise Criterion Would Let a Court Distinguish a Genuine Accusation from “Accusation in a Mirror”?	A need for a criterion distinguishing perpetrator projection from ordinary political accusation.
480	In What Type of Civil Proceeding — Protection of Personal Rights, Copyright Infringement, Damages — Would Your Method Have Evidentiary Value? Please Identify a Specific Provision of the Polish Civil Code or Code of Civil Procedure That Would Admit an Opinion Based on This Method.	A test of the concrete legal basis and scope in which the method could serve as evidence.
481	Expert, Final Question: As the Creator of This Method, Can You Identify the Conditions Under Which You Yourself Would Consider It Refuted?	The sharpest test of scientific status: specifying conditions under which the creator would consider the method falsified.
482	☠️ Taxonomy of Russian Suicide	A catalogue of suspicious deaths of prominent Russians, organised by the official or visible method of death. Each case separates the fact of death from open interpretation.
483	I. Defenestration (Falling from a Window)	Cases of falls from windows, especially frequent among business and administrative elites after 2022.
484	II. Firearms	Deaths by firearm officially or initially classified as suicides, often under unusual circumstances.
485	III. Hanging / Strangulation	Cases of hanging and strangulation involving business, administration and people with inconvenient knowledge.
486	IV. Drowning / Falling from a Vessel	Deaths in water or after falling from vessels, grouped as a separate pattern.
487	V. Sudden Heart Attack / “Acute Failure”	Sudden medical deaths officially explained as heart attack, stroke or acute organ failure.
488	VI. Poisons and Exotic Substances	Documented and suspected uses of poisons, from polonium and Novichok to other substances.
489	VII. Death in Prison / Penal Colony	Deaths in prisons and penal colonies, where the state controls conditions, care and access to information.
490	VIII. Found Dead (No Explanation)	Cases where the official communication goes no further than reporting that a body was found, without a clear mechanism of death.
491	IX. Plane Crash (Target = Group)	Plane crashes as a method capable of eliminating the target and the surrounding group at the same time.
492	X. Decapitation	Cases of literal or extremely brutal decapitation as a separate, rare category.
493	XI. Double Method (Combo)	Deaths involving more than one apparently suicidal mechanism, undermining a simple official account.
494	XII. Meta-Analysis — What the Taxonomy Says	Sectoral, fiscal and temporal patterns show where suspicious deaths cluster within the Russian system.
495	🐀 Putin — Cornered Animal Edition (v3)	A map of Putin's options as a cornered autocrat for whom defeat may mean loss of power or life. The centre of gravity shifts from finance to personal survival.
496	0. Why This Is Not a Question of Money	The key constraint is not accounting: peace and defeat may be more dangerous to a personalist dictator than continuing the war.
497	I. What He Really Has Left (After All Corrections)	The real resources are a temporary oil windfall, fiscal squeezing of the population, central-bank reserves and deeper dependence on China.
498	II. What Does Not Work (Crossed Out)	Discarded options include frozen assets, a return of gas to Europe, money printing, banks and classic monetary tricks.
499	III. Hidden Wealth — $1 Trillion in Dark Money	Putin's offshore wealth is enormous but difficult to reveal and use without freezing; it is better suited to influence operations than to financing the war.
500	IV. Cornered Animal — Scenarios of Desperation	A map of residual moves from political deals to escalation as normal exits close.
501	V. The Key Question: When Will the Elites Detach from Putin?	Elite loyalty persists as a calculation until the cost of staying with Putin exceeds the risk of removing him.
502	Synthesis v3: His Life Project Failed	Synthesis: there is no hidden grand plan, only a shrinking set of costly and increasingly bad options.
503	Yalta 3.0	A scenario for restructuring the order from the Caucasus to the Gulf after the weakening of Iranian statehood. Hanseatic League 2.0 is to emerge from converging interests, not from a single conference or great-power blueprint.
504	Contents	A map of the vision, operational concept, actor drivers, feasibility tests, risks and verdict.
505	1. Vision — Synthesis	Iran's disintegration as a process opening space for an organic system of corridors, trade and security.
506	Pillars of the Vision	Five supports: process-driven disintegration, natural zones, convergence of interests, shock as accelerator and private capital.
507	2. Operational Concept	Translating the vision into geography, corridors and limited actions that do not require full occupation of Iran.
508	2.1 The Aras River — Key to an Azerbaijani Operation	The Aras combines water, border and symbolic significance, giving Azerbaijan a natural operational axis.
509	2.2 The 30 km Belt — Operational Logic	A narrow border belt creates a defensive barrier and corridor without the burden of administering millions of people.
