term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
rdzeń AuDHD	AuDHD core features	keyword		390	audhd_core_features	istnieje w SQL
refaktoryzacja	refactoring	keyword		391	refactoring	istnieje w SQL
referencje	references	keyword		392	references	istnieje w SQL
regresja	regression	keyword		393	regression	istnieje w SQL
regulacja mówienia	speech regulation	keyword		394	speech_regulation	istnieje w SQL
regulacja sensoryczna	sensory regulation	keyword		395	sensory_regulation	istnieje w SQL
reguły społeczne	social rules	keyword		396	social_rules	istnieje w SQL
rekonstrukcja	reconstruction	keyword		397	reconstruction	istnieje w SQL
rekursja	recursion	keyword		398	recursion	istnieje w SQL
relacje	relationships	keyword		399	relationships	istnieje w SQL
Richard Stallman	Richard Stallman	keyword		400	richard_stallman	istnieje w SQL
rozpoznawanie	recognition	keyword		401	recognition	istnieje w SQL
rozpoznawanie emocji	emotion recognition	keyword		402	emotion_recognition	istnieje w SQL
rozpoznawanie wzorców	pattern recognition	keyword		403	pattern_recognition	istnieje w SQL
rozwiązywanie problemów	problem solving	keyword		404	problem_solving	istnieje w SQL
równania fundamentalne	fundamental equations	keyword		405	fundamental_equations	istnieje w SQL
równania Maxwella	Maxwell's equations	keyword		406	maxwell_s_equations	istnieje w SQL
równania Naviera–Stokesa	Navier–Stokes equations	keyword		407	navier_stokes_equations	istnieje w SQL
równanie Diraca	Dirac equation	keyword		408	dirac_equation	istnieje w SQL
równoległa obecność	parallel play	keyword		409	parallel_play	istnieje w SQL
rutyna	routine	keyword		410	routine	istnieje w SQL
rynek terapeutyczny	therapy market	keyword		411	therapy_market	istnieje w SQL
rytm dobowy	circadian rhythm	keyword		412	circadian_rhythm	istnieje w SQL
ryzyko terapii	treatment risk	keyword		413	treatment_risk	istnieje w SQL
samokontrola	self-control	keyword		414	self_control	istnieje w SQL
samoocena	self-esteem	keyword		415	self_esteem	istnieje w SQL
samoodwołanie	self-reference	keyword		416	self_reference	istnieje w SQL
samopomoc	self-help	keyword		417	self_help	istnieje w SQL
samopoświęcenie	self-sacrifice	keyword		418	self_sacrifice	istnieje w SQL
samoregulacja	self-regulation	keyword		419	self_regulation	istnieje w SQL
samowiedza	self-knowledge	keyword		420	self_knowledge	istnieje w SQL
schematy	schemas	keyword		421	schemas	istnieje w SQL
selekcja zawodowa	occupational selection	keyword		422	occupational_selection	istnieje w SQL
sen	sleep	keyword		423	sleep	istnieje w SQL
sen głęboki	deep sleep	keyword		424	deep_sleep	istnieje w SQL
sen REM	REM sleep	keyword		425	rem_sleep	istnieje w SQL
separacja danych	data separation	keyword		426	data_separation	istnieje w SQL
separacja domen	domain separation	keyword		427	domain_separation	istnieje w SQL
separacja kontekstu	context separation	keyword		428	context_separation	istnieje w SQL
sieć wsparcia	support network	keyword		429	support_network	istnieje w SQL
skalowalność	scalability	keyword		430	scalability	istnieje w SQL
skalowanie społeczne	social scaling	keyword		431	social_scaling	istnieje w SQL
skażenie informacji	information contamination	keyword		432	information_contamination	istnieje w SQL
skład komputerowy	computer configuration	keyword		433	computer_configuration	istnieje w SQL
skojarzenia	associations	keyword		434	associations	istnieje w SQL
skrupulatność moralna	moral scrupulosity	keyword		435	moral_scrupulosity	istnieje w SQL
skuteczność terapii	treatment efficacy	keyword		436	treatment_efficacy	istnieje w SQL
słaba interocepcja	poor interoception	keyword		437	poor_interoception	istnieje w SQL
specjalizacja	specialization	keyword		438	specialization	istnieje w SQL
specyficzny humor	distinctive humor	keyword		439	distinctive_humor	istnieje w SQL
spin	spin	keyword		440	spin	istnieje w SQL
spójność centralna	central coherence	keyword		441	central_coherence	istnieje w SQL
spójność kontekstu	contextual coherence	keyword		442	contextual_coherence	istnieje w SQL
spójność modelu	model coherence	keyword		443	model_coherence	istnieje w SQL
sprawiedliwość	justice	keyword		444	justice	istnieje w SQL
standard informacyjny	information standard	keyword		445	information_standard	istnieje w SQL
standard wsparcia	support standard	keyword		446	support_standard	istnieje w SQL
stan przewlekły	chronic condition	keyword		447	chronic_condition	istnieje w SQL
stereotypy	stereotypes	keyword		448	stereotypes	istnieje w SQL
Steve Wozniak	Steve Wozniak	keyword		449	steve_wozniak	istnieje w SQL
stimming	stimming	keyword		450	stimming	istnieje w SQL
strategie kompensacyjne	compensatory strategies	keyword		451	compensatory_strategies	istnieje w SQL
strategie ochronne	protective strategies	keyword		452	protective_strategies	istnieje w SQL
strategie poznawcze	cognitive strategies	keyword		453	cognitive_strategies	istnieje w SQL
stres	stress	keyword		454	stress	istnieje w SQL
streszczenia	summaries	keyword		455	summaries	istnieje w SQL
strumień danych	data stream	keyword		456	data_stream	istnieje w SQL
styl poznawczy	cognitive style	keyword		457	cognitive_style	istnieje w SQL
surowe bodźce	raw sensory input	keyword		458	raw_sensory_input	istnieje w SQL
sygnały ciała	bodily signals	keyword		459	bodily_signals	istnieje w SQL
sygnały społeczne	social cues	keyword		460	social_cues	istnieje w SQL
sygnały zwrotne	feedback signals	keyword		461	feedback_signals	istnieje w SQL
systemy rozproszone	distributed systems	keyword		462	distributed_systems	istnieje w SQL
system wsparcia	support system	keyword		463	support_system	istnieje w SQL
szczegóły	details	keyword		464	details	istnieje w SQL
szkoda terapeutyczna	treatment-related harm	keyword		465	treatment_related_harm	istnieje w SQL
sztuczna inteligencja	artificial intelligence	keyword		466	artificial_intelligence	istnieje w SQL
sztywność poznawcza	cognitive rigidity	keyword		467	cognitive_rigidity	istnieje w SQL
ślepota czasowa	time blindness	keyword		468	time_blindness	istnieje w SQL
środowisko społeczne	social environment	keyword		469	social_environment	istnieje w SQL
świadomość	awareness	keyword		470	awareness	istnieje w SQL
świadomość ciała	body awareness	keyword		471	body_awareness	istnieje w SQL
świadomość neuroróżnorodności	neurodiversity awareness	keyword		472	neurodiversity_awareness	istnieje w SQL
terapeuci ND	neurodivergent therapists	keyword		473	neurodivergent_therapists	istnieje w SQL
terapeuta	therapist	keyword		474	therapist	istnieje w SQL
terapia	therapy	keyword		475	therapy	istnieje w SQL
terapia schematów	schema therapy	keyword		476	schema_therapy	istnieje w SQL
termodynamika	thermodynamics	keyword		477	thermodynamics	istnieje w SQL
termodynamika informacji	information thermodynamics	keyword		478	information_thermodynamics	istnieje w SQL
TeX	TeX	keyword		479	tex	istnieje w SQL
tożsamość	identity	keyword		480	identity	istnieje w SQL
trafność	validity	keyword		481	validity	istnieje w SQL
transformer	transformer	keyword		482	transformer	istnieje w SQL
turbulencja	turbulence	keyword		483	turbulence	istnieje w SQL
twórcy technologii	technology creators	keyword		484	technology_creators	istnieje w SQL
układ nerwowy	nervous system	keyword		485	nervous_system	istnieje w SQL
układ przedsionkowy	vestibular system	keyword		486	vestibular_system	istnieje w SQL
ulga	relief	keyword		487	relief	istnieje w SQL
underachievement	underachievement	keyword		488	underachievement	istnieje w SQL
unikanie sensoryczne	sensory avoidance	keyword		489	sensory_avoidance	istnieje w SQL
unikanie wymagań	demand avoidance	keyword		490	demand_avoidance	istnieje w SQL
Unix	Unix	keyword		491	unix	istnieje w SQL
uwaga	attention	keyword		492	attention	istnieje w SQL
uzależnienia	addiction	keyword		493	addiction	istnieje w SQL
walidacja społeczna	social validation	keyword		494	social_validation	istnieje w SQL
walidacja wewnętrzna	internal validation	keyword		495	internal_validation	istnieje w SQL
walidacja zewnętrzna	external validation	keyword		496	external_validation	istnieje w SQL
wariacja	variation	keyword		497	variation	istnieje w SQL
werbalizacja	verbalization	keyword		498	verbalization	istnieje w SQL
weryfikacja	verification	keyword		499	verification	istnieje w SQL
wewnętrzny tłumacz społeczny	internal social interpreter	keyword		500	internal_social_interpreter	istnieje w SQL
Wheeler–DeWitt	Wheeler–DeWitt equation	keyword		501	wheeler_dewitt_equation	istnieje w SQL
wieczorne pobudzenie	evening arousal	keyword		502	evening_arousal	istnieje w SQL
więź	attachment	keyword		503	attachment	istnieje w SQL
wolne oprogramowanie	free software	keyword		504	free_software	istnieje w SQL
wpływ społeczny	social influence	keyword		505	social_influence	istnieje w SQL
wrażliwość na niesprawiedliwość	sensitivity to injustice	keyword		506	sensitivity_to_injustice	istnieje w SQL
wrażliwość na odrzucenie (RSD)	rejection sensitivity	keyword		507	rejection_sensitivity	istnieje w SQL
wskaźniki	indicators	keyword		508	indicators	istnieje w SQL
wsparcie	support	keyword		509	support	istnieje w SQL
wsparcie po diagnozie	post-diagnostic support	keyword		510	post_diagnostic_support	istnieje w SQL
wsparcie praktyczne	practical support	keyword		511	practical_support	istnieje w SQL
wsparcie rówieśnicze	peer support	keyword		512	peer_support	istnieje w SQL
wsparcie społeczne	social support	keyword		513	social_support	istnieje w SQL
wspólnota rówieśnicza	peer community	keyword		514	peer_community	istnieje w SQL
wspólny kod	shared code	keyword		515	shared_code	istnieje w SQL
współwystępowanie autyzmu i ADHD	co-occurring autism and ADHD	keyword		516	co_occurring_autism_and_adhd	istnieje w SQL
wstyd	shame	keyword		517	shame	istnieje w SQL
wybiórczość pokarmowa	food selectivity	keyword		518	food_selectivity	istnieje w SQL
wybór terapeuty	therapist selection	keyword		519	therapist_selection	istnieje w SQL
wykorzystywanie społeczne	social exploitation	keyword		520	social_exploitation	istnieje w SQL
wyobraźnia	imagination	keyword		521	imagination	istnieje w SQL
wypalenie autystyczne	autistic burnout	keyword		522	autistic_burnout	istnieje w SQL
wzajemna pomoc	mutual aid	keyword		523	mutual_aid	istnieje w SQL
względność	relativity	keyword		524	relativity	istnieje w SQL
wzorce funkcjonowania	patterns of functioning	keyword		525	patterns_of_functioning	istnieje w SQL
zaburzenia snu	sleep disorders	keyword		526	sleep_disorders	istnieje w SQL
zachowania społeczne	social behavior	keyword		527	social_behavior	istnieje w SQL
zadania	tasks	keyword		528	tasks	istnieje w SQL
zainteresowania specjalne	special interests	keyword		529	special_interests	istnieje w SQL
zarządzanie czasem	time management	keyword		530	time_management	istnieje w SQL
zarządzanie pamięcią	memory management	keyword		531	memory_management	istnieje w SQL
zasada nieoznaczoności	uncertainty principle	keyword		532	uncertainty_principle	istnieje w SQL
zasada stacjonarnego działania	principle of stationary action	keyword		533	principle_of_stationary_action	istnieje w SQL
zasoby	resources	keyword		534	resources	istnieje w SQL
zaufanie do źródeł	source trust	keyword		535	source_trust	istnieje w SQL
zdolności poznawcze	cognitive abilities	keyword		536	cognitive_abilities	istnieje w SQL
zdrowie psychiczne	mental health	keyword		537	mental_health	istnieje w SQL
zewnętrzna regulacja	external regulation	keyword		538	external_regulation	istnieje w SQL
zmęczenie decyzyjne	decision fatigue	keyword		539	decision_fatigue	istnieje w SQL
zmiana aktywności	activity transition	keyword		540	activity_transition	istnieje w SQL
zmienne progi sensoryczne	variable sensory thresholds	keyword		541	variable_sensory_thresholds	istnieje w SQL
zmysły	sensory modalities	keyword		542	sensory_modalities	istnieje w SQL
zrozumienie	understanding	keyword		543	understanding	istnieje w SQL
żałoba	grief	keyword		544	grief	istnieje w SQL
rdzeń	core	termin				Termin roboczy używany w klasyfikacji cech AuDHD.
cecha mieszana	mixed feature	termin				Cecha wynikająca częściowo z rdzenia, częściowo z maskowania.
komisja po znajomości	jury packed with friends	neologizm	*			Charakterystyczna Maćkowa zbitka; zachować żart i sens nepotycznego składu.
zombierewizor	zombie reviewer	neologizm	*			Maćkowy neologizm; pisać konsekwentnie jako “zombie reviewer”.
architektury pamięci	memory architectures	termin				Termin przewodni AU05–AU06.
pamięć pointer-based	pointer-based memory	termin	*			Maćkowe użycie informatycznej metafory jako opisu pamięci ND.
kompresor stratny	lossy compressor	termin				Metafora informatyczna używana w opisie pamięci.
ekstrakcja gistu	gist extraction	termin				Termin z pogranicza pamięci i informatyki.
słaba spójność centralna	weak central coherence	termin				Utrzymywać standardowy termin literaturowy WCC.
pomaganie kosztem siebie	helping at your own expense	termin	*			Charakterystyczne sformułowanie tezy AU07.
liczby przetłumaczone na ludzki	numbers translated into human terms	neologizm	*			Maćkowa fraza stylistyczna; zachować rejestr potoczno-analityczny.
osoba fundatorska	foundational builder	neologizm	*			Nie tłumaczyć jako startup founder; chodzi o osobę budującą fundament technologiczny.
fundamentowanie IT	laying the foundations of IT	neologizm	*			Maćkowa kategoria pracy nad warstwą fundamentalną IT.
teza perwersyjna	perverse thesis	termin	*			Celowo prowokacyjna nazwa wersji tezy.
paradoks epistemiczny	epistemic paradox	termin				Utrzymywać konsekwentnie.
otwarte loopy	open loops	neologizm	*			Maćkowe spolszczone użycie “loops”; w EN po prostu open loops.
abstrakcja abstrakcji	abstraction of abstraction	neologizm	*			Zbitka używana dla meta-poziomu.
liczby po ludzku	numbers in human terms	neologizm	*			Rodzina Maćkowych sformułowań „po ludzku”.
geniusz w kryzysie, paraliż w spokoju	brilliant in a crisis, paralysed in calm conditions	neologizm	*			Zachować kontrast i rytm frazy.
pamięć „złotej rybki”	“goldfish” memory	termin	*			Maćkowa metafora przeciwstawiona pamięci encyklopedycznej.
zmęczenie, które nie ma dna	fatigue with no bottom	neologizm	*			Maćkowa fraza metaforyczna.
tęsknota za niepoznanym jeszcze sobą	longing for a self you have not yet met	neologizm	*			Zachować sens, nie spłaszczać do identity issues.
przepraszanie za istnienie	apologising for existing	neologizm	*			Fraza opisowa, celowo mocna.
udawanie dorosłego	pretending to be an adult	termin	*			Charakterystyczna fraza doświadczeniowa.
być zrozumianym, nie naprawionym	to be understood, not fixed	neologizm	*			Zachować jako stałą formułę.
mówienie za mało albo za dużo	speaking too little or too much	termin	*			Stała fraza dla bimodalności regulacji mówienia.
rozkręcić osobę autystyczną	get an autistic person going	neologizm	*			Potoczna fraza; chodzi o uruchomienie długiego mówienia/infodumpingu.
po ludzku	in plain language	neologizm	*			Preferowany odpowiednik w tytułach objaśniających.
domknięcie wewnętrzne założeń	internal closure of assumptions	termin	*			Maćkowa fraza modelowa; zachować „closure”.
folk-taksonomia	folk taxonomy	termin	*			Spolszczona zbitka; w EN standardowe folk taxonomy.
support swapping	support swapping	termin	*			Nazwa ND love language; nie tłumaczyć dalej.
please crush my soul back into my body	please crush my soul back into my body	neologizm	*			Celowa internetowa fraza; pozostawić dosłownie.
koszt tłumaczenia	translation cost	termin	*			Relacyjna metafora kosztu przekładu między kodami ND/NT.
schemat-based	schema-based	neologizm	*			Hybrydowa Maćkowa zbitka; w EN normalizować do schema-based.
value-based	value-based	termin	*			Pozostawić po angielsku.
polaroidy babci Genowefy	Grandma Genowefa's Polaroids	neologizm	*			Stała metafora błędnej atrybucji w pamięci i AI.
biały niedźwiedź	white bear	termin	*			Skrót dla ironicznego efektu negacji w instrukcjach.
pisz pozytywnie	write positively	termin	*			Reguła projektowa: formułować instrukcje pozytywnie zamiast przez negację.
nieskuteczność	ineffectiveness	termin				Kontrastowane z counterproductivity.
tabliczka ND-status	ND-status notice	neologizm	*			Proponowany standard informacyjny przed terapią.
arbitr prawdy	arbiter of truth	termin	*			Rola człowieka w systemie człowiek + AI + pliki.
trójkąt spalania	combustion triangle	termin	*			Maćkowe określenie w analizie systemowej
szary nosorożec	grey rhino	termin				metafora ryzyka
funkcja celu	objective function	termin				termin analityczny
Hanza 2.0	Hanseatic League 2.0	neologizm	*			Maćkowa nazwa modelu regionalnego
Disinfolklore	Disinfolklore	neologizm	*			Maćkowy termin
dark legitimacy	dark legitimacy	neologizm	*			termin własny / roboczy
sprzężenie degradujące	degrading feedback loop	termin				spójność tłumaczeń
zdolności odtworzeniowe	replacement capacity	termin				infrastruktura / przemysł
scorched earth	scorched earth	termin				pozostawiono angielski termin
steelmanning	steelmanning	termin				pozostawiono angielski termin
gradually stało się suddenly	gradually became suddenly	neologizm	*			Hybrydowa fraza tytułowa; zachować kontrast gradually/suddenly.
negative space	negative space	termin				Metoda wnioskowania z nieobecności i przemilczeń.
cztery tryby	four modes	termin	*			Stała rama interpretacji relacji intencja–działanie–informacja.
asymetria opcjonalności	asymmetry of optionality	termin	*			Maćkowa rama analityczna dotycząca różnicy w dostępnych opcjach działania.
opcjonalność	optionality	termin				Wartość posiadania i zachowywania alternatywnych opcji działania.
kampania ujawnienia	reveal campaign	termin	*			Skoordynowane ujawnianie zdolności, doktryny i sygnałów.
long-range sanctions	long-range sanctions	termin	*			Nazwana rama ukraińskich uderzeń dalekiego zasięgu; pozostawić po angielsku.
strangulacja	strangulation	termin				Systemowe duszenie logistyki lub gospodarki.
twierdzenie Nyquista	Nyquist's theorem	nazwa				Odwołanie matematyczne używane jako metafora tempa i próbkowania reakcji.
kompresja napraw	repair compression	termin	*			Skracanie okna dostępnego na naprawę między kolejnymi uderzeniami.
wyspa logistyczna	logistical island	termin	*			Stan obszaru, którego połączenia logistyczne są stopniowo odcinane.
patrymonialny grid lock	patrimonial gridlock	neologizm	*			Hybrydowa rama opisująca stabilność reżimu dzięki sieciom klientelistycznym.
salami slicing	salami slicing	termin				Stopniowa eskalacja małymi krokami, bez jednego oczywistego progu.
detekcja absencji	absence detection	termin	*			Wykorzystywanie brakujących danych lub elementów wzorca jako sygnału.
cascade gradient	cascade gradient	neologizm	*			Maćkowe określenie uporządkowanych ścieżek propagacji skutków w systemie.
maskirowka	maskirovka	termin				Radziecka i rosyjska doktryna maskowania, dezinformacji i pozoracji.
sygnalizacja strategiczna	strategic signalling	termin				Komunikowanie intencji i zdolności przez działania o znaczeniu strategicznym.
demembranizacja perymetru	demembranisation of the perimeter	neologizm	*			Maćkowe określenie stopniowego rozbierania warstw ochronnych/peryferyjnych.
sygnalizacja kalendarzem	calendar-based signalling	termin	*			Wykorzystanie daty zdarzenia jako części komunikatu strategicznego.
Deep Strike	Deep Strike	termin				Termin operacyjny; pozostawić po angielsku.
kaskada paliwowa	fuel cascade	termin	*			Łańcuch propagujących się braków i awarii w systemie paliwowym.
hurt	wholesale	neologizm	*			Maćkowa metafora przejścia od pojedynczych trafień do skali całych klas celów.
milczenie strategiczne	strategic silence	termin	*			Luka między wiedzą strategiczną a publicznym językiem decydentów.
doktryna maksymalizacji eskalacji	doctrine of maximising escalation	termin	*			Wyjście z eskalacji przez zwiększanie presji do wymuszenia decyzji.
zarządzany upadek	managed decline	termin	*			Kontrolowane kurczenie i restrukturyzacja zamiast wzrostu.
cicha mobilizacja	quiet mobilisation	termin				Mobilizacja przez mechanizmy administracyjne i kontraktowe bez formalnego ogłoszenia.
chiński substytut komponentowy	Chinese component substitute	termin	*			Zastępowanie zachodnich komponentów dostawami chińskimi.
sankcje kinetyczne	kinetic sanctions	neologizm	*			Fizyczne niszczenie infrastruktury jako odpowiedź na obchodzenie sankcji.
najkrótszy zapalnik	shortest fuse	neologizm	*			Proces mogący najszybciej przeprowadzić system z erozji do jawnego kryzysu.
tryb wojenny	war mode	termin				Pełne podporządkowanie alokacji ludzi, pieniędzy i priorytetów potrzebom wojny.
wiążące ograniczenie	binding constraint	termin				Czynnik, który realnie ogranicza wynik systemu.
asymetria ograniczeń	asymmetry of constraints	termin	*			Rozróżnienie ograniczeń fizycznych/jednokierunkowych i politycznie odwracalnych.
inwentarz opcji	inventory of options	termin	*			Rozdzielenie opcji realnych od pozornych.
licznik rewizji	revision counter	termin	*			Zbiorcze porównanie zmian statusów między kolejnymi rewizjami prognozy.
zapas kontra strumień	stock vs flow	termin	*			Maćkowa rama porównująca zużywające się zapasy z odnawialnym strumieniem presji.
cebula transportowa	transport onion	neologizm	*			Warstwowa metafora kolejnych wąskich gardeł transportowych.
pułapka jedynego decydenta	sole decision-maker trap	termin	*			Rozbieżność między interesem państwa a funkcją celu jedynego realnego decydenta.
ruch resztkowy	residual move	termin	*			Ruch wysokiego ryzyka pozostający po wyczerpaniu bezpieczniejszych opcji.
paradoks zapędzenia	cornering paradox	neologizm	*			Im mniej bezpiecznych wyjść, tym atrakcyjniejszy staje się ruch resztkowy wysokiego ryzyka.
fenomenologia końca państwa	phenomenology of state ending	termin	*			Opis formy i przebiegu końca państwa, niezależnie od pełnej etiologii.
spoiwo wewnętrzne	internal binding	termin	*			Mechanizmy kalkulacyjne utrzymujące aparat i centrum razem.
czujnik siły	strength sensor	neologizm	*			Aktor lub grupa reagująca na postrzeganą siłę centrum.
afirmatywna legitymizacja	affirmative legitimacy	termin				Legitymizacja oparta na wartości, misji, zgodzie, prawie lub wspólnym celu.
governmentality	governmentality	termin				Pojęcie teorii władzy; pozostawić po angielsku.
Archetypal Disinfolklore Literacy	Archetypal Disinfolklore Literacy	neologizm	*			Nazwa narzędzia metody; pozostawić po angielsku.
Incoming-Outgoing Troll Radars	Incoming–Outgoing Troll Radars	neologizm	*			Nazwa filtra wejściowych i wychodzących treści.
Witch Switch	Witch Switch	neologizm	*			Nazwa mechanizmu przekierowania realnego lęku na sfabrykowanego winnego.
Re-Archetyping	Re-Archetyping	neologizm	*			Świadoma podmiana archetypu w mentalnym modelu obiektu.
Finding Manuland	Finding Manuland	nazwa	*			Nazwa projektu / ramy interpretacyjnej.
Data-Resistant Archetypes	Data-Resistant Archetypes	neologizm	*			Archetypy oporne na dane i korektę faktami.
Counter-Disinfolklore	Counter-Disinfolklore	neologizm	*			Zestaw narzędzi obronnych wobec Disinfolklore.
przesłuchanie informacyjne	informational cross-examination	neologizm	*			Quasi-sądowy test wiarygodności metody analitycznej.
post-narracyjne narzędzie	post-narrative tool	termin	*			Narzędzie mające wyzwalać z narracji, mimo że samo używa kategorii narracyjnych.
false positive	false positive	termin				Fałszywie pozytywna klasyfikacja.
taksonomia rosyjskiego samobójstwa	taxonomy of Russian suicide	neologizm	*			Maćkowa nazwa katalogu podejrzanych zgonów prominentnych Rosjan.
metoda podwójna	double method	termin	*			Przypadek z więcej niż jednym pozornie samobójczym mechanizmem.
cornered animal	cornered animal	termin	*			Rama zachowania autokraty zapędzonego w sytuację bez bezpiecznych wyjść.
dark money	dark money	termin				Ukryty/offshore kapitał używany poza przejrzystym obiegiem.
Jałta 3.0	Yalta 3.0	neologizm	*			Maćkowa nazwa scenariusza przebudowy porządku od Kaukazu po Zatokę.
aura strachu	aura of fear	termin	*			Reputacja nieuchronnej siły jako zasób aparatu przymusu.
old money	old money	termin				Prywatny kapitał wielopokoleniowy; pozostawić po angielsku.
mission creep	mission creep	termin				Stopniowe rozszerzanie zakresu ograniczonej misji.
równowaga Nasha	Nash equilibrium	termin				Standardowy termin teorii gier.
odwrócona metoda naukowa	reversed scientific method	neologizm	*			Sekwencja intuicja → prowokacja → dane → formalizacja.
pole grawitacyjne	gravitational field	neologizm	*			Metafora układu przyciągającego aktorów przez ich własne interesy.
trzy zagnieżdżone równowagi	three nested equilibria	termin	*			Lokalna, regionalna i szersza równowaga wzajemnie podtrzymująca system.
panel to capital good, baryłka to consumable	a solar panel is a capital good; a barrel is a consumable	neologizm	*			Maćkowa formuła kontrastująca trwały substytut energii z paliwem zużywalnym.
autoimmunologia	autoimmunity	neologizm	*			Metafora strategii cenowej niszczącej konkurentów, ale także wzmacniającej substytuty.
zegar samozniszczenia	self-destruct clock	neologizm	*			Wbudowany mechanizm stopniowej erozji monopolu.
energia jako narzędzie sprawiedliwości	energy as an instrument of justice	termin	*			Rama etyczna rozproszonej, tańszej energii jako ograniczenia zależności.
Wandel durch Handel	Wandel durch Handel	nazwa				Niemiecka doktryna zmiany przez handel; pozostawić w oryginale.
sauve qui peut	sauve qui peut	termin				Francuska fraza oznaczająca indywidualne ratowanie się kosztem solidarności.
asymetria kosztów	cost asymmetry	termin				Nierówny rozkład kosztów szoku i transformacji między państwami.
